F_UserName,User_nIdx,F_Comment,Label,TextLen
我原来就是小黑子,1292,就搞不懂了，怎么有些人这么愤世嫉俗[doge]那他平日得有多大成就啊[泪],2.0,37
阿七有病b,2788,底下骂抄袭的，我来扫墓啦[打call][打call],2.0,26
温迪大人没有在摸鱼,2615,原来神里大小姐这么早就出现在pv里了,2.0,18
港莲湾居士,2777,明显的有人带节奏...守望先锋被抄没人闹，吃鸡基本全民的游戏网易抄袭也不见有人当正义使者，然后我睡一觉起来全中国就我一个人没玩过塞尔达了（转载的）,2.0,73
星空下的特图,2725,让一让，我拖个地[doge],2.0,14
废宅臭打游戏的不会懂人间温柔,1305,牛逼！塞尔达明目张胆的抄袭我们国产游戏！任天堂过分了啊！我明天就把我的ns皮卡丘限定机子砸了！说不定皮卡丘就是抄袭我国优良手游的！,2.0,65
身在人间的阿叶,2769,加油！,2.0,3
身在人间的阿叶,2769,抽个奖加1,2.0,5
晚喵L,2767,爱了,2.0,2
真呼名子,368,[好崇拜哦],2.0,6
真呼名子,368,就冲这头衔！ 这游戏我买了。,2.0,14
真呼名子,368,[大拇指],2.0,5
真呼名子,368,老任有回应了吗？,2.0,8
灵华之城,1819,我想知道有没有人就中国游戏公司和日本游戏公司，两个国家的角度来评论这个问题的，平时抵制日本这个抵制日本呢个现在又反过来帮日本打到中国公司，是不是不爱国的亲日表现[二哈][二哈][二哈]咋样，这个帽子扣的可以吧。,2.0,105
灵华之城,1819,这难道不是国产游戏的一道光吗？,2.0,15
lu_luella,399,是觉得崩坏没人骂就胆肥了吧？！,2.0,15
虚空冲锋,2286,抄袭自重嗷,2.0,5
现世劫,1463,看到微博一个老哥说：寨尔达,2.0,13
TowerNeya,1758,搞快点，我管你抄没抄，给爷整快点，爷要玩,2.0,20
杉吾史吾,1171,太恶心人了,2.0,5
杉吾史吾,1171,脏东西,2.0,3
一个满格的wifi,1851,永远不要理会谣言与重伤,2.0,11
兔兔谈谈,2169,除了口嗨，你们还能干什么[挖鼻],2.0,16
兔兔谈谈,2169,一个7年的游戏公司，下面这些说的我[偷笑],2.0,21
兔兔谈谈,2169,真觉得你们烦了,2.0,7
兔兔谈谈,2169,pv碰瓷是b站传出来的,2.0,11
兔兔谈谈,2169, ,2.0,1
谜样神君,966,美术风格...还有战斗画面...真的...巨像塞尔达...结合另一部手游看，米哈游同时面对两个争议问题：1.一致的游戏模式改写剧本和美术风格算不算抄袭；2.一致的美术风格改写剧本和部分游戏模式算不算抄袭,2.0,101
魔化铭文Tisiphone,522,你就告诉我  会不会有氪金系统！,2.0,16
NOBO哒,774,恶心，恶心啊，恶心死了，恶心！,2.0,15
Airshuaishuai,265,蠢,2.0,1
无语PK,157,这草地……这气流……这他妈,2.0,13
呦西呦YUki,2568,这次我康康那些键盘侠敢去搞事的[吃瓜],2.0,19
银羽是画渣,1107,真建议在公测前可以多加点原创内容，改掉一些特效的表现，希望公测的时候给一种换了游戏的感觉，被骂了那么久，做人还是要有点骨气。不要厚着脸皮装死一直到公测。,2.0,76
kono呱呱岛,226,按到这么多人在骂原神舒服了,2.0,13
kono呱呱岛,226,恶臭行为，妈死了,2.0,8
风一样的小阿呆,1117,啥时候让我玩,2.0,6
风一样的小阿呆,1117,  我也想要激活码呜呜呜,2.0,12
Fashion你们不懂,1961,PS4上玩旷野之息指日可待[允悲][允悲][允悲][允悲],2.0,29
