F_UserName,User_nIdx,F_Comment,Label,TextLen
祎只狸猫,2795,考古,1.0,2
邮一棵草莓i,2790,来考古了，怎么说，知道以前原神舆论正义很大，但亲眼看到前面的评论才能有点真实感觉到当时有多难,1.0,46
沐北零,2334,卧槽，这时候就有绫华了！？,1.0,13
逗你逗你2014,1389,考古,1.0,2
亚修·,1883,继续考古，温迪！万叶！你们快来吧！,1.0,17
亚修·,1883,2021年8月13日报道，我想说原神真的很好玩，会做的越来越好的，加油！,1.0,36
EJoachim,2793,前来考古，2022.3.5，原神加油，米哈游加油！,1.0,25
EJoachim,2793,你要相信米哈游的实力[打call][打call]，我来自2022.3.5，他们已经在计划研究可控核聚变了，如果成功的话就是造福人类级别的贡献。,1.0,71
喜欢你的木乃伊,1942,加油[喵喵],1.0,6
AlanTuringfan_vcfake,2770,回头来看，热评哈哈哈哈哈哈哈哈哈,1.0,16
沙雕乌龙茶茶,2608,好好解决你们抄袭的问题吧，我可不想游戏没出来就先别搞死了[可爱],1.0,32
让我成为自己的锚,15,5812条评论,1.0,7
让我成为自己的锚,15,你们上了ps4，虽然觉得不太可能了不过我还是希望可以的话上ns就可以让那些利益者闭嘴了,1.0,43
让我成为自己的锚,15,过审了，快开服呗,1.0,8
让我成为自己的锚,15,出ps5了会上ps5吗,1.0,11
Oyu·,1721,吃相不要太难看,1.0,7
ToKei酱,1284,Mihoyo这波秒啊，先做个一看就能看出来“借鉴”的游戏，然后请一波水军，去和骂的人吵，把热度炒上来，开服后自然有一群人来玩，妙啊妙啊,1.0,67
-葉書,422,[打脸][打脸][打脸],1.0,12
辫辫今天画画了吗,634,抄袭游戏拿出来丢人丢到家了[微笑]米哈游你们烂了，技术宅拯救个狗屁世界，抄袭宅,1.0,39
大麻烦蛋,2665,我呸,1.0,2
DoctorDax,1713,真丢人，垃圾,1.0,6
水无抈流歌,2421,要脸吗要脸吗要脸吗,1.0,9
水无抈流歌,2421,求求你快点被起诉打不过官司的那种[嘻嘻][嘻嘻],1.0,24
水无抈流歌,2421,米卫兵：微博人均版权卫士？ b站：米卫兵的家,1.0,22
水无抈流歌,2421,[疑问]抄袭不能骂？,1.0,10
水无抈流歌,2421,反正我现在也不打算说什么了[doge],1.0,19
水无抈流歌,2421,[doge],1.0,6
水无抈流歌,2421,[doge],1.0,6
水无抈流歌,2421,牛逼,1.0,2
水无抈流歌,2421,能不能清醒点啊！抛开嘴臭之外我们都是人，我们也是真的喜欢塞尔达这个游戏，你们能不能也想想我们，一个非常热爱的游戏被一个大公司抄袭了。如果是你你是什么想法[费解]建议你们都双面看清事况再说话吧,1.0,95
水无抈流歌,2421,人家说要砸：口嗨 砸了：神经病[疑问],1.0,19
水无抈流歌,2421,搞得好像我们可以一样[哼]但是抄袭就是不对啊。我们除了口嗨还能干嘛，他不抄袭我们会那么恶心他吗。你这样说道德绑架啊[怒],1.0,60
水无抈流歌,2421,ps4:他们给的钱实在是太多了,1.0,15
水无抈流歌,2421,[费解][费解],1.0,8
酱腌绯玉丸,1957,也许评论区的都是塞尔达玩家吧,1.0,14
酱腌绯玉丸,1957,吃瓜,1.0,2
逃跑到月球后发现,1336,原来你送ps4pro是这意思[二哈][二哈]d区,1.0,24
冰茶_Hunter,988,抄袭司马,1.0,4
咕王永不服输,2249,真为国产游戏悲哀。。。。 我一个玩家都为此羞愧你们居然还洋洋自喜。。。,1.0,35
ringringhappy_666,1269,画面是我喜欢的类型，挺想玩的[二哈][二哈][二哈],1.0,26
flag之王也不想立flag,1898,不觉得可耻吗,1.0,6
Morgana_5,163,真的好丢人啊,1.0,6
double_damn,1297,太恶心了,1.0,4
生涯最大詛呪,2055,什么时候玩家能被当做玩家来看待，而不是捞金桶呢？ 评论区的玩家们总是戾气很重，这究竟是中国玩家与生俱来的劣根性，还是被这种“借鉴”应付的游戏环境给毒害了呢？ 我们都期望着能够用语言暴力式的方式来改变现状，脑子里还幻想自己就好像是鲁迅用笔来唤醒麻木不仁的人一样，即便这未必正确。  ,1.0,140
把浪漫留给风,308,在？抽我一台ns好吗？,1.0,11
下次还可以再见嘛,778,中奖,1.0,2
伊藤今天也不返图,1365,烂泥扶不上墙,1.0,6
滥用公权利无马哦,2679,嘻嘻嘻嘻嘻拿云玩家说事的米卫兵们，可能是脑子8太好使，大家又不是安利或评论塞尔达咋样咋样，而是抵制抄袭，麻烦不要混淆概念了嗷[嘻嘻][给力]刚刚高考完建议去感受一下微博紧张氛围，好激励你们把九年义务学完嗷[给力],1.0,106
天中有肆,395,之前看了截图觉得一毛一样，今天和朋友聊起来了才找了视频来看，看完觉得这就是吧？？改了个名字就成自己的了？？游戏都这么好做真正做游戏的公司都活不下去了看看你们最后抄谁的[太开心][太开心][太开心]顺便以后米卫兵喜欢的游戏被抄了也千万别骂哦，那叫借鉴那叫致敬,1.0,128
月见梅香,1197,为啥不送ns,1.0,6
七_弹琴去吧弹自由的琴,197,不要脸。,1.0,4
非四字网友,1945,在？为什么不送ns[太开心],1.0,14
万能小段JDuan,1552,  魔王来抽ps4[笑而不语],1.0,15
万能小段JDuan,1552,有ps4了，如果中奖了就把它拿出来送了吧[二哈],1.0,24
苏茶茶的呆毛,1195,还原神作嗷？,1.0,6
第二名太差,1937,为啥不抽ns？,1.0,7
只想吃不想胖的女子高中生,1063,抄袭塞尔达你好棒,1.0,8
咸鱼奔雨,1878,对不起米哈游这真的太像塞尔达了我受不了,1.0,19
就叫我亚索吧,73,真正的好设计师懂得避嫌，游戏也一样别的不多说[嘻嘻],1.0,26
琴音是个小太陽,318,你竟然不送ns？对得起塞尔达和异度之刃吗[摊手],1.0,24
Rachel--LEO,1101,呵，水军真多。 美工就不说啥了，希望BGM也能像崩崩崩那么出色吧，但这游戏要上线手游，，，[费解]清洁工全民换手机？,1.0,58
RoseXGreenday,1643,不送台ns表示一下吗,1.0,10
心碎DVA,2128,游戏界史上的悲哀,1.0,8
心碎DVA,2128,？给爷死,1.0,4
常磐森林小绿,1060,怎么不送任天堂的游戏机~gba也行啊反正都抄了！,1.0,24
莱米与卢克,1179,这就是我们选任天堂的原因[微笑]只会抄袭吗？脸呢[摊手],1.0,28
雨奈鸣响,2590,嗯……虽然说缝合怪什么的大家都已经心知肚明了……但是啊，这个交互界面完全是适应手柄的哎，你弄成手机也该改改吧？,1.0,55
亦小欲,2428,可以联机么[二哈][二哈],1.0,13
乚巳巳卩厶匚巳,1526,你咋不抽个ns嘞？[嘻嘻],1.0,13
沙豆布吉岛岛主,61,抄袭司马,1.0,4
草東街輕瘋派對,707,还有b脸宣传，,1.0,7
宗炜CHAN,242,感谢米哈游让我剩下了买ns和塞尔达的钱。。。等等？！什么？！不充个6480不能玩？？？？？？？赶紧买台ns压压惊,1.0,56
肖申克的后妈,25,塞尔达模仿秀？,1.0,7
nettaigyo熱帯魚,2019,讲真 对米哈游挺失望的[拜拜] 为了圈钱丢本可还行[good],1.0,31
变成富婆吧,1221,[嘻嘻][嘻嘻][嘻嘻][嘻嘻]给爷爪巴,1.0,20
Calvarie游,733,辣鸡游戏，希望你永远挂在墙头上,1.0,15
百歌小天才,416,原来前几天官宣的旷野之息续作是你们做的[微笑][微笑][微笑],1.0,31
喵喵喵喵小靓,181,我还以为是谁做了塞尔达的换头mod结果居然是个手游，这抄的也太明显了，能不能要点脸[费解],1.0,45
脏脏麻薯,1854,抄袭 我靠,1.0,5
南十川,986,我现在想玩国产宝可梦，和大镖客里，期待你们下一部作品[doge],1.0,32
云幕遮_,1927,md求您别抄了,1.0,7
哎羊刁刁,713,奖励可以改成送ns玩塞尔达[微笑],1.0,17
不喜欢兄弟那叫年轻人吗,2056,路人不知道抄没抄，但是3d做的挺好啊[二哈],1.0,22
水村兔哉,1138,有脸吗？？,1.0,5
--曦目--,2319,这不是塞尔达？？？,1.0,9
月猫佑,255,你们啥时候倒闭啊我放鞭炮庆祝[太开心][太开心][太开心],1.0,29
漪贰叁肆,556,员工可以换家单位了吧,1.0,10
张不开嘴-,361,洽烂钱不可取,1.0,6
-3Jane,2298,不要碧莲,1.0,4
七个术,1651,做个人？丢不丢人？？？,1.0,11
羊好吃,1396,美术团队不觉得耻辱吗抄成这样，你们这么不要自尊的嘛,1.0,25
成分不明Z,1616,太好了，爷能在手机上玩塞尔达了 谢谢熬米哈游[给力][给力],1.0,30
Mikan_菊子君,1012,咋不抽ns呢[嘻嘻][嘻嘻][嘻嘻]是我ns不配还是咋滴[doge][doge][doge],1.0,46
一只小理智e,2386,原神21号能玩了么,1.0,9
E1evenY_,1689,服了[拜拜],1.0,6
-一尾流鸢-,259,。,1.0,1
Helo青蛙斗舞,1456,米哈游，我得肾能换你一个资格码//,1.0,17
Helo青蛙斗舞,1456,  中中中中,1.0,6
呆毛突然翘起来了,1612,评论一口一个抄袭的有多少人连知识产权抄袭的定义和范围都不知道？？游戏的抄袭本来就很难定义，舰b舰r抄舰c怎么现在一个个没人说了？游戏风格和玩法本来就不是一家独有的，渲染像就等于抄袭，不觉得有点无理取闹吗？还是有些人真的是有优越感？,1.0,115
呆毛突然翘起来了,1612,抓住太太了！,1.0,6
樱小路才华_,2701,啊啊啊啊啊,1.0,5
迷之奇诺比奥,1073,期待米哈游,1.0,5
迷之奇诺比奥,1073,期待一下吧,1.0,5
