Epoch,Loss,Learning_rate
0,-925.0355834960938,0.001
9,-977.5391845703125,0.001
19,-1003.2877197265625,0.001
29,-1031.387939453125,0.001
39,-1048.0146484375,0.001
49,-1059.7745361328125,0.001
59,-1073.4970703125,0.001
69,-1079.8924560546875,0.001
79,-1089.33740234375,0.001
89,-1098.2109375,0.001
99,-1105.0882568359375,0.001
109,-1113.6485595703125,0.001
119,-1117.772216796875,0.001
129,-1124.343505859375,0.001
139,-1130.8065185546875,0.001
149,-1138.7132568359375,0.001
159,-1145.3624267578125,0.001
169,-1149.59228515625,0.001
179,-1161.751708984375,0.001
189,-1163.4775390625,0.001
199,-1171.447509765625,0.001
