Epoch,Loss,Learning_rate
0,-724.4489135742188,0.001
9,-818.3885498046875,0.001
19,-841.7573852539062,0.001
29,-857.2599487304688,0.001
39,-868.4494018554688,0.001
49,-875.5636596679688,0.001
59,-883.27978515625,0.001
69,-891.783447265625,0.001
79,-898.5535888671875,0.001
89,-906.4555053710938,0.001
99,-911.90478515625,0.001
109,-917.6476440429688,0.001
119,-926.2628173828125,0.001
129,-932.1524047851562,0.001
139,-941.578369140625,0.001
149,-950.1213989257812,0.001
159,-953.5633544921875,0.001
169,-964.6126708984375,0.001
179,-972.2294311523438,0.001
189,-978.845703125,0.001
199,-987.47802734375,0.001
