F_UserName,User_nIdx,F_Comment,Label,TextLen
祎只狸猫,2795,考古,5.0,2
邮一棵草莓i,2790,来考古了，怎么说，知道以前原神舆论正义很大，但亲眼看到前面的评论才能有点真实感觉到当时有多难,5.0,46
小祀弟弟吖,2783,入坑很晚想来看看之前的pv，这么多骂抄袭的吗？一开始这么难吗[泪],5.0,33
Tawil-at_Umr,2276,考古,5.0,2
沐北零,2334,卧槽，这时候就有绫华了！？,5.0,13
136658305jkly,980,我就是米卫兵，原神没抄袭,5.0,12
136658305jkly,980,就是就是,5.0,4
逗你逗你2014,1389,考古,5.0,2
亚修·,1883,继续考古，温迪！万叶！你们快来吧！,5.0,17
亚修·,1883,2021年8月13日报道，我想说原神真的很好玩，会做的越来越好的，加油！,5.0,36
EJoachim,2793,前来考古，2022.3.5，原神加油，米哈游加油！,5.0,25
EJoachim,2793,你要相信米哈游的实力[打call][打call]，我来自2022.3.5，他们已经在计划研究可控核聚变了，如果成功的话就是造福人类级别的贡献。,5.0,71
盛夏遲暮澤,2132,我惊了，这么早就把神里绫华放出来了？[二哈][二哈],5.0,26
盛夏薇澜,107,希望原神越来越好,5.0,8
喜欢你的木乃伊,1942,加油[喵喵],5.0,6
AlanTuringfan_vcfake,2770,回头来看，热评哈哈哈哈哈哈哈哈哈,5.0,16
沙雕乌龙茶茶,2608,好好解决你们抄袭的问题吧，我可不想游戏没出来就先别搞死了[可爱],5.0,32
让我成为自己的锚,15,5812条评论,5.0,7
让我成为自己的锚,15,你们上了ps4，虽然觉得不太可能了不过我还是希望可以的话上ns就可以让那些利益者闭嘴了,5.0,43
让我成为自己的锚,15,过审了，快开服呗,5.0,8
让我成为自己的锚,15,出ps5了会上ps5吗,5.0,11
眠悠然,1914,可以玩开心的游戏就是好游戏，不管是怎么做出来的，赚钱也是这个道理，这个社会就是那么现实[二哈],5.0,47
墨色鹤望兰,2589,塞尔达玩腻了，吹的有点过，其实一般，神庙都太简单了，啥时候能玩上原神啊，真香,5.0,38
回岸w韵,1623,评论区一片轰炸,5.0,7
柴俊猫16625,2678,米哈游确实名声不怎么好，都有难处，说抄袭的可以，你们喜欢喷抄袭的可以看看谁家抄袭的游戏多，去那喷喷，是不是别的游戏请你们来黑的，我虽然有时候看米哈游也来气，但都不容易。,5.0,84
柴俊猫16625,2678,抄袭这个话题有意思，可以问问其他现在的游戏有几个是原创的。那是黑粉,5.0,33
Oyu·,1721,吃相不要太难看,5.0,7
研_________永远的新人,21,哎，为啥国内抄别人的东西不动脑子，你抄得让人看不出来，没有既视感不就行了么？这么一目了然的既视感，世界的玩家都觉得看不下去了,5.0,62
aicevhy,2450,挺住,5.0,2
6410046023_517,2351,好意思吗？,5.0,5
ToKei酱,1284,Mihoyo这波秒啊，先做个一看就能看出来“借鉴”的游戏，然后请一波水军，去和骂的人吵，把热度炒上来，开服后自然有一群人来玩，妙啊妙啊,5.0,67
lu_luella,399,是觉得崩坏没人骂就胆肥了吧？！,5.0,15
-葉書,422,[打脸][打脸][打脸],5.0,12
辫辫今天画画了吗,634,抄袭游戏拿出来丢人丢到家了[微笑]米哈游你们烂了，技术宅拯救个狗屁世界，抄袭宅,5.0,39
消灭奥特曼的计划_,1027,塞尔达,5.0,3
大麻烦蛋,2665,我呸,5.0,2
NoNo纸,550,狗屁东西,5.0,4
DoctorDax,1713,真丢人，垃圾,5.0,6
好像喝奶茶,2043,还原神作，恶心人,5.0,8
水无抈流歌,2421,要脸吗要脸吗要脸吗,5.0,9
水无抈流歌,2421,求求你快点被起诉打不过官司的那种[嘻嘻][嘻嘻],5.0,24
水无抈流歌,2421,米卫兵：微博人均版权卫士？ b站：米卫兵的家,5.0,22
水无抈流歌,2421,[疑问]抄袭不能骂？,5.0,10
水无抈流歌,2421,反正我现在也不打算说什么了[doge],5.0,19
水无抈流歌,2421,[doge],5.0,6
水无抈流歌,2421,[doge],5.0,6
水无抈流歌,2421,牛逼,5.0,2
水无抈流歌,2421,能不能清醒点啊！抛开嘴臭之外我们都是人，我们也是真的喜欢塞尔达这个游戏，你们能不能也想想我们，一个非常热爱的游戏被一个大公司抄袭了。如果是你你是什么想法[费解]建议你们都双面看清事况再说话吧,5.0,95
水无抈流歌,2421,人家说要砸：口嗨 砸了：神经病[疑问],5.0,19
水无抈流歌,2421,搞得好像我们可以一样[哼]但是抄袭就是不对啊。我们除了口嗨还能干嘛，他不抄袭我们会那么恶心他吗。你这样说道德绑架啊[怒],5.0,60
水无抈流歌,2421,ps4:他们给的钱实在是太多了,5.0,15
水无抈流歌,2421,[费解][费解],5.0,8
酱腌绯玉丸,1957,也许评论区的都是塞尔达玩家吧,5.0,14
酱腌绯玉丸,1957,吃瓜,5.0,2
逃跑到月球后发现,1336,原来你送ps4pro是这意思[二哈][二哈]d区,5.0,24
夏日追阴,2658,搭配起来非常的不合适，很别扭没发现?地图的画风不适合人物的画风，人物的画风不适合滑跑的姿势。,5.0,46
呦西呦YUki,2568,这次我康康那些键盘侠敢去搞事的[吃瓜],5.0,19
bingo4665,2322,塞尔达抄袭原神，建议你们立刻组织法务对任天堂提起诉讼[太开心],5.0,31
唯爱绝殤,2366,能给我内测资格么求你了我真的想玩……！,5.0,19
十玄子,2399,跳票警告,5.0,4
kono呱呱岛,226,按到这么多人在骂原神舒服了,5.0,13
kono呱呱岛,226,恶臭行为，妈死了,5.0,8
冰茶_Hunter,988,抄袭司马,5.0,4
咕王永不服输,2249,真为国产游戏悲哀。。。。 我一个玩家都为此羞愧你们居然还洋洋自喜。。。,5.0,35
-豬咪日記-,2431,观望等结果,5.0,5
网友牙飞飞,2472,你们真当没人玩过塞尔达…,5.0,12
ringringhappy_666,1269,画面是我喜欢的类型，挺想玩的[二哈][二哈][二哈],5.0,26
顾北青烟寒,2156,管他们说啥的，好玩就玩啊，我玩啥游戏还要征求他们意见咋滴，我上大学读研工作娱乐不我自己怎么喜欢怎么来，他们几句不疼不痒的话还能影响到我么，自以为喷别人很爽，实际人家压根没放在心上，或者看都没看到，我过我自己的生活，喷子关我鸟事，何况很多喷子生活比我差多了，应该同情他。,5.0,134
喵诗人nya,1906,反正有塞尔达续作玩，谁玩你这垃圾，没648能玩？,5.0,24
喵诗人nya,1906, ,5.0,1
喵诗人nya,1906,  快来管管他们，抄袭塞尔达,5.0,14
喵诗人nya,1906,你玩塞尔达不能证明他抄袭就是对的,5.0,16
qwepoizxcmnbv,1845,吐痰[太开心],5.0,7
qwepoizxcmnbv,1845,在？塞尔达出续作了[太开心],5.0,14
qwepoizxcmnbv,1845,你和另一个水军发的一样[嘻嘻]建议删了,5.0,19
flag之王也不想立flag,1898,不觉得可耻吗,5.0,6
Morgana_5,163,真的好丢人啊,5.0,6
double_damn,1297,太恶心了,5.0,4
昵称6785,1724,粪池,5.0,2
昵称6785,1724,呕，恶臭,5.0,4
黄颖的黄n黄颖的颖,325,赤裸裸的cx,5.0,6
不会说话的拉普兰德,2724,真的dd,5.0,4
SakuraTREEx,291,致玩家的信敢放微博吗，脸都不要了,5.0,16
生涯最大詛呪,2055,什么时候玩家能被当做玩家来看待，而不是捞金桶呢？ 评论区的玩家们总是戾气很重，这究竟是中国玩家与生俱来的劣根性，还是被这种“借鉴”应付的游戏环境给毒害了呢？ 我们都期望着能够用语言暴力式的方式来改变现状，脑子里还幻想自己就好像是鲁迅用笔来唤醒麻木不仁的人一样，即便这未必正确。  ,5.0,140
_NAYO__,1072,垃圾抄袭游戏滚好吧[嘻嘻][嘻嘻][嘻嘻],5.0,21
把浪漫留给风,308,在？抽我一台ns好吗？,5.0,11
洛白才不告诉你白不白,1962,崩坏二崩坏三都玩过氪过，曾经你是我心里最有希望变成手游大厂的公司，现在变成这个样子，粉转黑，不会再给你们充一分钱，等你们倒闭那天[微笑],5.0,68
鱼昧QAQ,1173,怎么不抽ns＋旷野之息实体卡套餐啊 毕竟是生你养你的人啊[嘻嘻],5.0,32
下次还可以再见嘛,778,中奖,5.0,2
伊藤今天也不返图,1365,烂泥扶不上墙,5.0,6
阿欧丝瑞,1525,如果做成了，技术提上去，有了经验，未来还是可期的,5.0,24
滥用公权利无马哦,2679,嘻嘻嘻嘻嘻拿云玩家说事的米卫兵们，可能是脑子8太好使，大家又不是安利或评论塞尔达咋样咋样，而是抵制抄袭，麻烦不要混淆概念了嗷[嘻嘻][给力]刚刚高考完建议去感受一下微博紧张氛围，好激励你们把九年义务学完嗷[给力],5.0,106
天中有肆,395,之前看了截图觉得一毛一样，今天和朋友聊起来了才找了视频来看，看完觉得这就是吧？？改了个名字就成自己的了？？游戏都这么好做真正做游戏的公司都活不下去了看看你们最后抄谁的[太开心][太开心][太开心]顺便以后米卫兵喜欢的游戏被抄了也千万别骂哦，那叫借鉴那叫致敬,5.0,128
附了魔的刺猬,724,臭不要脸,5.0,4
月见梅香,1197,为啥不送ns,5.0,6
七_弹琴去吧弹自由的琴,197,不要脸。,5.0,4
非四字网友,1945,在？为什么不送ns[太开心],5.0,14
万能小段JDuan,1552,  魔王来抽ps4[笑而不语],5.0,15
万能小段JDuan,1552,有ps4了，如果中奖了就把它拿出来送了吧[二哈],5.0,24
苏茶茶的呆毛,1195,还原神作嗷？,5.0,6
第二名太差,1937,为啥不抽ns？,5.0,7
只想吃不想胖的女子高中生,1063,抄袭塞尔达你好棒,5.0,8
白水染,2641,唉~没有赶上呢~,5.0,8
zc_铃玖,1782,非常期待了,5.0,5
zc_铃玖,1782,好玩就玩爆、就吹爆，最近什么好游戏都没有,5.0,20
zc_铃玖,1782,好玩就玩爆,5.0,5
咸鱼奔雨,1878,对不起米哈游这真的太像塞尔达了我受不了,5.0,19
就叫我亚索吧,73,真正的好设计师懂得避嫌，游戏也一样别的不多说[嘻嘻],5.0,26
琴音是个小太陽,318,你竟然不送ns？对得起塞尔达和异度之刃吗[摊手],5.0,24
Rachel--LEO,1101,呵，水军真多。 美工就不说啥了，希望BGM也能像崩崩崩那么出色吧，但这游戏要上线手游，，，[费解]清洁工全民换手机？,5.0,58
RoseXGreenday,1643,不送台ns表示一下吗,5.0,10
心碎DVA,2128,游戏界史上的悲哀,5.0,8
心碎DVA,2128,？给爷死,5.0,4
十元就是一道光呀,272,国产辣鸡[嘻嘻],5.0,8
-椰果奶绿,1693,小声bb 评论喷原神的塞尔达云玩家好多哦[失望],5.0,24
Absurdus_,519,别人辛辛苦苦想出来 制作 实行 你们这帮老狗改一改抄一抄就完了？？？,5.0,34
Absurdus_,519,抄你妈呢,5.0,4
Absurdus_,519,要点脸吧,5.0,4
Absurdus_,519,做不好游戏就别做 抄袭算什么东西？,5.0,17
Absurdus_,519,抄袭要脸吗,5.0,5
常磐森林小绿,1060,怎么不送任天堂的游戏机~gba也行啊反正都抄了！,5.0,24
萧啊萧y,2526,我就怕这个手机带不动[允悲],5.0,14
