Description,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,Vip
1.0,0.9458545015931035,0.3182089637396979,1.0,-0.0238610333387931,-0.49849279649670347,-0.22061500975327641,0.0,0.0,0.0
1.0,-0.29625275599487033,-0.4198462496342147,1.0,-0.023959738088294266,-0.5650730837250295,-0.29966040243018927,0.0,0.0,0.0
1.0,0.3725742288601925,-0.05081864294725836,1.0,-0.020942662911875395,0.7534543901359277,-0.06972055350153962,0.0,0.0,0.0
0.0,-0.6784396044834777,-0.4198462496342147,1.0,-0.023916966030177095,-0.494925995395186,-0.2986323554156051,0.0,0.0,0.0
1.0,0.27702751673804066,-0.4198462496342147,1.0,-0.023913675871860388,-0.5246493379078315,-0.28743806570124464,0.0,1.0,0.0
1.0,0.08593409249373699,-0.4198462496342147,0.0,-0.02263380428666198,1.1422357102013316,0.5114686920766867,1.0,1.0,1.0
1.0,0.4681209409823443,-0.4198462496342147,1.0,-0.02384129238889287,-0.39148876345117944,-0.29623357904824216,0.0,0.0,0.0
1.0,-0.2007060438727185,-0.4198462496342147,1.0,-0.02019250681566656,-0.11684507863433441,0.2704487808797414,0.0,0.0,0.0
1.0,-0.3917994681170222,-0.05081864294725836,1.0,-0.022801602360813956,1.032853809754796,0.16741562452919892,0.0,0.0,0.0
0.0,-0.6784396044834777,-0.4198462496342147,1.0,-0.023304996583269885,-0.22028231057834097,-0.23649262475629793,0.0,0.0,0.0
1.0,-0.29625275599487033,-0.4198462496342147,1.0,-0.02365375336484066,-0.3534428850349931,-0.2698470390072496,0.0,0.0,0.0
1.0,0.08593409249373699,0.3182089637396979,1.0,-0.021399994917897448,0.6000819427706766,-0.2986323554156051,0.0,0.0,0.0
0.0,-0.6784396044834777,-0.4198462496342147,1.0,-0.022910177585265236,0.5061561804307166,-0.1844049093507022,0.0,0.0,0.0
1.0,0.9458545015931035,0.6872365704266542,1.0,-0.02306481502615039,5.313015131575757,0.3972412460117837,0.0,0.0,0.0
1.0,-0.29625275599487033,-0.4198462496342147,1.0,-0.023028623284666632,0.013937628421306069,-0.2612799805523819,0.0,0.0,0.0
1.0,0.27702751673804066,-0.4198462496342147,0.0,-0.023624141939990313,-0.14656842114698,-0.2197011901847572,0.0,0.0,0.0
1.0,0.08593409249373699,-0.4198462496342147,1.0,-0.018853412380767456,2.358514885818788,0.18409283165467474,0.0,0.0,0.0
1.0,0.7547610773487998,1.0562641771136105,0.0,-0.023357639116337172,-0.21314870837530603,0.7855003351863888,0.0,0.0,0.0
1.0,1.3280413500817108,-0.05081864294725836,1.0,-0.023581369881873142,-0.25000565309098655,-0.27692914066327357,0.0,0.0,0.0
