F_UserName,User_nIdx,F_Comment,Label,TextLen
小祀弟弟吖,2783,入坑很晚想来看看之前的pv，这么多骂抄袭的吗？一开始这么难吗[泪],5.0,33
Tawil-at_Umr,2276,考古,5.0,2
136658305jkly,980,我就是米卫兵，原神没抄袭,5.0,12
136658305jkly,980,就是就是,5.0,4
盛夏薇澜,107,希望原神越来越好,5.0,8
眠悠然,1914,可以玩开心的游戏就是好游戏，不管是怎么做出来的，赚钱也是这个道理，这个社会就是那么现实[二哈],5.0,47
墨色鹤望兰,2589,塞尔达玩腻了，吹的有点过，其实一般，神庙都太简单了，啥时候能玩上原神啊，真香,5.0,38
回岸w韵,1623,评论区一片轰炸,5.0,7
研_________永远的新人,21,哎，为啥国内抄别人的东西不动脑子，你抄得让人看不出来，没有既视感不就行了么？这么一目了然的既视感，世界的玩家都觉得看不下去了,5.0,62
aicevhy,2450,挺住,5.0,2
6410046023_517,2351,好意思吗？,5.0,5
NoNo纸,550,狗屁东西,5.0,4
好像喝奶茶,2043,还原神作，恶心人,5.0,8
夏日追阴,2658,搭配起来非常的不合适，很别扭没发现?地图的画风不适合人物的画风，人物的画风不适合滑跑的姿势。,5.0,46
bingo4665,2322,塞尔达抄袭原神，建议你们立刻组织法务对任天堂提起诉讼[太开心],5.0,31
唯爱绝殤,2366,能给我内测资格么求你了我真的想玩……！,5.0,19
十玄子,2399,跳票警告,5.0,4
顾北青烟寒,2156,管他们说啥的，好玩就玩啊，我玩啥游戏还要征求他们意见咋滴，我上大学读研工作娱乐不我自己怎么喜欢怎么来，他们几句不疼不痒的话还能影响到我么，自以为喷别人很爽，实际人家压根没放在心上，或者看都没看到，我过我自己的生活，喷子关我鸟事，何况很多喷子生活比我差多了，应该同情他。,5.0,134
qwepoizxcmnbv,1845,吐痰[太开心],5.0,7
qwepoizxcmnbv,1845,在？塞尔达出续作了[太开心],5.0,14
qwepoizxcmnbv,1845,你和另一个水军发的一样[嘻嘻]建议删了,5.0,19
昵称6785,1724,粪池,5.0,2
昵称6785,1724,呕，恶臭,5.0,4
黄颖的黄n黄颖的颖,325,赤裸裸的cx,5.0,6
不会说话的拉普兰德,2724,真的dd,5.0,4
SakuraTREEx,291,致玩家的信敢放微博吗，脸都不要了,5.0,16
洛白才不告诉你白不白,1962,崩坏二崩坏三都玩过氪过，曾经你是我心里最有希望变成手游大厂的公司，现在变成这个样子，粉转黑，不会再给你们充一分钱，等你们倒闭那天[微笑],5.0,68
阿欧丝瑞,1525,如果做成了，技术提上去，有了经验，未来还是可期的,5.0,24
附了魔的刺猬,724,臭不要脸,5.0,4
白水染,2641,唉~没有赶上呢~,5.0,8
十元就是一道光呀,272,国产辣鸡[嘻嘻],5.0,8
Absurdus_,519,别人辛辛苦苦想出来 制作 实行 你们这帮老狗改一改抄一抄就完了？？？,5.0,34
Absurdus_,519,抄你妈呢,5.0,4
Absurdus_,519,要点脸吧,5.0,4
Absurdus_,519,做不好游戏就别做 抄袭算什么东西？,5.0,17
Absurdus_,519,抄袭要脸吗,5.0,5
萧啊萧y,2526,我就怕这个手机带不动[允悲],5.0,14
许慢慢比较高兴,582,你们要点脸吧，封面做的都一样我去[呕吐][呕吐][呕吐]，没脑子没本事就不要做游戏，抄袭算什么！！！！,5.0,51
一个巍峨的用户,2520,别送ps4了，送个ns加塞尔达多好啊[太开心],5.0,23
该账户已注销多年,835,wake up link [微笑][微笑][微笑][跪了][跪了][跪了],5.0,37
amewbaby,86,为什么可以这么不要脸,5.0,10
ZELDA_WAN,1479,为什么抽奖不送ns 送ps4？是将来准备移植ps4 好圆大家在ps平台上玩塞尔达的愿望吗？,5.0,45
冷了70626,2308,来踩一脚,5.0,4
odd__y,448,真不要碧脸 刘伟死个妈先,5.0,12
是你老苏,1960,你他妈要不抽个塞尔达限定ns吧？这什么像素级别的抄袭真的给你脸了 ,5.0,33
Muuucho,1983,对不起这真的太像塞尔达了,5.0,12
热带雨林阿布大人,2129,不愧是原创大厂[思考],5.0,11
依芙鱼yuyuyu,2014,咕咕咕,5.0,3
米拉酱x,2723,没开,5.0,2
昨晚月光很美,2567,据说评论会提高抽奖率,5.0,10
上官猫夏,1769,没有原神玩我要死了,5.0,9
-akiiiiiiiiii-,603,[费解]塞尔达vs原神在线找不同,5.0,16
shark赛高,2538,我从来都没有参加过测试服，救救孩子吧QAQ,5.0,21
今天就是讲究人,2531,塞尔达续作的预告出来了，赶紧去抄..啊不“借鉴”啊！,5.0,26
瘦到100斤再改名吧,1669,我想说这看上去很像塞尔达，但又没别人做的好，出原创游戏很难吗，我看这样也不容易吧,5.0,40
sakidoki,1210,ps4终于能玩塞尔达了[doge][doge][doge],5.0,29
狼眼D,2354,我以为这游戏要上steam,5.0,13
SkyForest233,687,为什么不送ns？,5.0,8
樱下尸骨,2432,期待原神的上架，希望我这次有幸能获得内测资格。,5.0,23
虾滑好吃happy,2464,怕了  这辈子不玩国产手游！！,5.0,15
我来组成分子,2088,  ,5.0,2
吃橘子的布丁,403,测试服资格怎么拿的到哦,5.0,11
吃橘子的布丁,403,呜哇！有pc端！,5.0,8
吃橘子的布丁,403,天我来了！,5.0,5
ARZyyyyyyyy,1827,索尼曲线救国？,5.0,7
采薇南栅,1312,米和油其实一直扮演吃螃蟹的人呀 从崩崩开始到崩崩崩 再到准备出的原神 抄袭也好借鉴也好 米和油做出了这一步 而国内其他人没敢做 崩崩和崩崩崩在同类型下目前国内依旧没有超过这两款游戏的吧[鼓掌],5.0,96
Sook_21,1178,真是想笑有些人说游戏还没出呢小心被打脸我们说的是pv好吗pv[微笑]谁说游戏了？？？,5.0,42
Sook_21,1178,恶意碰瓷塞尔达提高知名度反正游戏出了我也不会玩谁爱玩谁玩呵呵呵[思考],5.0,35
几近期待,1109,要脸,5.0,2
Zier-_-,2223,我！,5.0,2
肥宅系百合男子,1490,要钱不要脸,5.0,5
任天堂宇宙第一,2548,网易抄完 米游抄,5.0,8
筒子超级超级大GE,1166,送台ns呗[嘻嘻][嘻嘻],5.0,13
水煮油炸小龙虾,1655,这个月能不能脱非呢,5.0,9
北斗to南,1543,太爽了吧，能不用动脑子只抄抄游戏就能有一群憨憨买账还帮我洗地，谁要去做原创[太开心][太开心][太开心][给力][给力],5.0,60
抱紧我的憨,1979,期待一下,5.0,4
我爱开封菜,138,JRPG你们要全部致敬一遍？,5.0,14
我爱开封菜,138,米哈游，劝你们别游戏还没出就把自己搞臭了，对你们一点好处都没有，好自为之,5.0,36
TrevorLink,1780,崩坏4昆特牌2020年推出，阵营的名字我都给你想好了[可爱],5.0,30
星辰繁音,629,官网预约不了,5.0,6
KAFCI,2523,终于等到你了,5.0,6
纆隽,1386,黄头发到底是男还是女[跪了],5.0,14
小猫咪呜呜_,1654,啊啊啊啊锤爆想玩！！！,5.0,11
不想吃刀子了,253,期待一波 希望能玩到测试版,5.0,13
冇鱼丸有鱼蛋,643,喜欢这类型！等不及了[二哈],5.0,14
冬了个大逝,2529,你忽悠新作！支持！,5.0,9
养着兔子的猫咪,2802,两年了，回过头来看[打call][打call][打call][打call],5.0,37
伊卡洛斯-天空女神,2338,塞尔达万物起源？ 原神抄袭？法律不行？那好就以那些网络大法官们的标准来看塞尔达 塞尔达”抄袭”的对象之多令人发指，迷官冒险”抄袭”(1974年的龙与地下城)，HP值”抄袭”(1974年 的龙与地下城)，开箱宝物”抄袭”(1996年的暗黑破坏神)，解 宽“抄袭”(1970年 的益智游戏),5.0,143
伊卡洛斯-天空女神,2338,射 箭”抄袭”(1993年的德军总部3D)，做菜”抄袭”(2003年的洛奇)，物理爬墙”抄袭”(1987年的波斯王子)，滑行飞行”抄袭”(2002年的完美端游2001年的飞飞)，地牢副本定义”抄袭”(1999年的无尽的任务)，无缝地图“抄袭”(19989年 的 lineage系列)，高自由度抄袭(1997年的网络创世纪),5.0,161
云夜悠长,2677,太君你的头像没了555 太君你家乡的母亲被送入焚尸炉了555 太君你美丽的妻子被ntr了现在跟黄毛正爱的死去活来的555 太君快回家吧，带力本帝国离不开你555 [哈哈],5.0,85
云夜悠长,2677,哈哈哈哈哈哈哈，装逼谁不会呀，扯个外星人就是高端数码粉嗷，牛逼牛逼[哈哈],5.0,37
云夜悠长,2677,太君宁说的太对了，我要为宁送上大大的举报,5.0,20
云夜悠长,2677,555传说sama，故乡的sakura开了，宁不回去看看嘛？,5.0,30
云夜悠长,2677,亲，没有凉哦，这边建议您跳进北冰洋里感受一下凉凉哦,5.0,25
云夜悠长,2677,唉，不跟哈批对线了，也是没意思，反正对喷又没结果，最强法务部也不出手，这两边对骂也就给咱原神加热度，工具人我是不想当了 但是原神绝对不会凉，欢迎你随时at我,5.0,78
云夜悠长,2677,呵呵，宁就是牧马场？一天死一头马都不足惜,5.0,20
云夜悠长,2677,亲亲，我这边不养马哦，请问您是从温暖的草原上来的嘛？家里居然有那么多马，你还每死一头都给他们做坟，我真的好羡慕你哦[doge],5.0,63
云夜悠长,2677,[喵喵]咳咳 原神&塞尔达 王牌战士&守望先锋 王者荣耀&英雄联盟&Dota 冤冤相报何时了[喵喵],5.0,50
云夜悠长,2677,亲亲，这边建议您直接举报原神哦，光和米哈游玩家对线是没有结果滴,5.0,31
云夜悠长,2677,行了，咱就不用当工具人了，等原神公测/被告的时候再说吧,5.0,27
云夜悠长,2677,亲亲，请问您是不把我王牌战士放在眼里么？人家虽然只是个新生儿，但也继承了tx爸爸伟大的抄袭基因呢,5.0,48
云夜悠长,2677,你不是一个人,5.0,6
云夜悠长,2677,不说了，我光明的王者荣耀才上到星耀四呢,5.0,19
云夜悠长,2677,微博人手ns人均塞尔达玩家？版权卫士搞快点[嘻嘻],5.0,25
云夜悠长,2677,还是让任天堂法务部来决定这到底是不是抄袭吧，不然两家粉丝疯狂线上撕逼也撕不出什么道道来，还不如默默恰瓜。我对之前的口嗨表示道歉。 不过原神在cj展上已经直接和塞尔达面对面硬刚了...应该没什么大不了吧？（小声BB）,5.0,107
