Epoch,Loss,Learning_rate
0,-1188.32666015625,0.001
9,-1282.16845703125,0.001
19,-1305.545166015625,0.001
29,-1320.9488525390625,0.001
39,-1332.13037109375,0.001
49,-1339.3594970703125,0.001
59,-1347.052001953125,0.001
69,-1355.6087646484375,0.001
79,-1362.3721923828125,0.001
89,-1370.2064208984375,0.001
99,-1375.791015625,0.001
109,-1381.4747314453125,0.001
119,-1390.11279296875,0.001
129,-1395.9581298828125,0.001
139,-1405.3619384765625,0.001
149,-1413.83935546875,0.001
159,-1417.5419921875,0.001
169,-1428.380126953125,0.001
179,-1436.02001953125,0.001
189,-1442.6827392578125,0.001
199,-1451.20947265625,0.001
