Epoch,Loss,Learning_rate
0,-1004.6990966796875,0.001
9,-1084.229736328125,0.001
19,-1114.9970703125,0.001
29,-1135.4190673828125,0.001
39,-1145.1156005859375,0.001
49,-1155.857177734375,0.001
59,-1166.563232421875,0.001
69,-1173.46630859375,0.001
79,-1182.8951416015625,0.001
89,-1189.8636474609375,0.001
99,-1198.339111328125,0.001
109,-1204.7330322265625,0.001
119,-1211.9608154296875,0.001
129,-1217.6473388671875,0.001
139,-1226.828857421875,0.001
149,-1234.882080078125,0.001
159,-1241.0311279296875,0.001
169,-1248.8359375,0.001
179,-1258.203369140625,0.001
189,-1265.53564453125,0.001
199,-1273.9832763671875,0.001
