Epoch,Loss,Learning_rate
0,-1104.349365234375,0.001
9,-1156.7852783203125,0.001
19,-1182.35546875,0.001
29,-1210.303955078125,0.001
39,-1226.84912109375,0.001
49,-1238.5399169921875,0.001
59,-1252.1270751953125,0.001
69,-1258.53271484375,0.001
79,-1267.9951171875,0.001
89,-1276.795166015625,0.001
99,-1283.75048828125,0.001
109,-1292.272705078125,0.001
119,-1296.43798828125,0.001
129,-1303.033203125,0.001
139,-1309.49560546875,0.001
149,-1317.377685546875,0.001
159,-1324.07861328125,0.001
169,-1328.29833984375,0.001
179,-1340.46240234375,0.001
189,-1342.135009765625,0.001
199,-1350.1353759765625,0.001
