CommentID,CommentTime,RootID,CommentRaw,Comment,CommentLike,CommentReply,UserID,UserName,UserLocation,UserDescription,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,UserFanTitle,VipRank
4915861950828535	,Fri Jun 23 18:31:24 +0800 2023,0,考古,考古,0,0,7752387333	,祎只狸猫,其他,橘圈小透明阮淼祎,f,45,149,260,False,loyal_fans,0
4910942133158267	,Sat Jun 10 04:41:48 +0800 2023,0,来考古了，怎么说，知道以前原神舆论正义很大，但亲眼看到前面的评论才能有点真实感觉到当时有多难,来考古了，怎么说，知道以前原神舆论正义很大，但亲眼看到前面的评论才能有点真实感觉到当时有多难,0,0,7604058796	,邮一棵草莓i,其他,垃圾滚！！！,f,2,48,124,False,Null,0
4862811883439433	,Sat Jan 28 09:09:22 +0800 2023,0,真不知道迅哥给评论区投了多少米？[允悲][doge],真不知道迅哥给评论区投了多少米？,0,0,7577283965	,kmimg7,甘肃 庆阳,,m,0,31,4,False,Null,0
4862705678417948	,Sat Jan 28 02:07:20 +0800 2023,0,入坑很晚想来看看之前的pv，这么多骂抄袭的吗？一开始这么难吗[泪],入坑很晚想来看看之前的pv，这么多骂抄袭的吗？一开始这么难吗,0,0,7476902376	,小祀弟弟吖,其他,,f,0,39,2,False,Null,0
4858911816944130	,Tue Jan 17 14:51:54 +0800 2023,0,[吃瓜]现在是2023年 回来考古的点个赞,现在是2023年 回来考古的点个赞,0,0,7724649649	,不知道如何评价,其他,,m,0,55,0,False,Null,0
4857585939256244	,Fri Jan 13 23:03:20 +0800 2023,0,考古,考古,0,0,6317060050	,Tawil-at_Umr,其他,,f,1,71,27,False,Null,0
4843708346798597	,Tue Dec 06 15:58:44 +0800 2022,0,就搞不懂了，怎么有些人这么愤世嫉俗[doge]那他平日得有多大成就啊[泪],就搞不懂了，怎么有些人这么愤世嫉俗那他平日得有多大成就啊,0,0,5238123879	,我原来就是小黑子,山东 烟台,他只看见外表的结果，而这种结果却已给他很深的印象了。,m,10,67,299,False,loyal_fans,0
4842368296289558	,Fri Dec 02 23:13:51 +0800 2022,0,考古结束@Akoi,考古结束@Akoi,0,0,7752939212	,花月歌浮舟,其他,,f,60,122,1,False,Null,0
4836112617182567	,Tue Nov 15 16:56:01 +0800 2022,0,Windows 11“狗都不用”时代前来考古[doge],Windows 11“狗都不用”时代前来考古,0,0,5952984271	,罗小黑本喵_,浙江,A cat spirit who's Windows Insider. 现已镇魂。,m,186,1642,12478,True,loyal_fans,6
4832608544361987	,Sun Nov 06 00:52:05 +0800 2022,0,两年了，回过头来看[打call][打call][打call][打call],两年了，回过头来看,9,1,7776168152	,养着兔子的猫咪,上海,,f,0,61,0,False,Null,0
4836105126150507	,Tue Nov 15 16:26:14 +0800 2022,4832608544361987	,这不是三年吗？[doge][doge],这不是三年吗？,0,Null,7772408887	,bo_白色大月亮,其他,,m,0,50,6,False,Null,0
4802185562425829	,Sun Aug 14 02:02:01 +0800 2022,0,卧槽，这时候就有绫华了！？,卧槽，这时候就有绫华了！？,0,0,6379467475	,沐北零,北京,一天一个样，发疯最健康,f,1,13,32,False,Null,0
4793200167879949	,Wed Jul 20 06:57:16 +0800 2022,0,我就是米卫兵，原神没抄袭,我就是米卫兵，原神没抄袭,0,0,3281219842	,136658305jkly,浙江 舟山,,f,1,62,3,False,Null,0
4783575629831356	,Thu Jun 23 17:32:47 +0800 2022,0,回来看看梦开始的地方,回来看看梦开始的地方,2,0,5309111752	,c跳跳呀,其他,,m,7,56,5,False,Null,0
4778136350230849	,Wed Jun 08 17:19:02 +0800 2022,0,3年了 3年,3年了 3年,3,0,7353022237	,浦镇做题家,江苏 南京,,m,2,830,21,False,Null,0
4777433255641383	,Mon Jun 06 18:45:10 +0800 2022,0,考古,考古,0,0,5360752838	,逗你逗你2014,山东 济南,阿槑,f,37,122,132,False,Null,0
4761881128732574	,Sun Apr 24 20:46:35 +0800 2022,0,参观古战场[666],参观古战场,3,0,7755717663	,寂月海200007,其他,,m,0,10,2,False,Null,0
4759599180417722	,Mon Apr 18 13:38:56 +0800 2022,0,神里不愧是亲女儿[允悲]回来看看就热评打脸现场,神里不愧是亲女儿回来看看就热评打脸现场,5,0,2154283943	,iYaF-,湖北 武汉,6 23,m,154,164,64,False,Null,0
4747356392395706	,Tue Mar 15 18:50:28 +0800 2022,0,前面的评论跟现在完全不一样，全都打脸场面,前面的评论跟现在完全不一样，全都打脸场面,17,3,7415480335	,书一点禾,广东 深圳,唯,m,1,73,31,False,Null,0
4806342436983668	,Thu Aug 25 13:19:57 +0800 2022,4747356392395706	,就喜欢挖坟看看以前的有趣发言[doge],就喜欢挖坟看看以前的有趣发言,2,Null,5643636178	,夕神心音,北京 朝阳区,【猫小胖-延夏】夕神心音,m,5,24,2057,False,Null,0
4746271438407111	,Sat Mar 12 18:59:15 +0800 2022,0,底下骂抄袭的，我来扫墓啦[打call][打call],底下骂抄袭的，我来扫墓啦,4,0,7574869003	,阿七有病b,其他,标准乱步激推，不懂我推的你们没品。。,m,3,13,11,False,Null,0
4745116860550884	,Wed Mar 09 14:31:22 +0800 2022,0,阿伟你又在翻看古战场诶 休息一下吧[doge],阿伟你又在翻看古战场诶 休息一下吧,5,3,5952984271	,罗小黑本喵_,浙江,A cat spirit who's Windows Insider. 现已镇魂。,m,186,1642,12478,True,loyal_fans,6
4836107903042323	,Tue Nov 15 16:37:16 +0800 2022,4745116860550884	,烦内[doge],烦内,0,Null,7772408887	,bo_白色大月亮,其他,,m,0,50,6,False,Null,0
4802732529032035	,Mon Aug 15 14:15:28 +0800 2022,4745116860550884	,苏删,苏删,0,Null,7752842167	,名字就叫旧林,其他,,f,2,4,4,False,Null,0
4798073790794371	,Tue Aug 02 17:43:18 +0800 2022,4745116860550884	,[doge],,0,Null,7351240289	,才太晚,其他,,m,0,18,9,False,Null,0
4744191031378655	,Mon Mar 07 01:12:27 +0800 2022,0,考古[鲜花],考古,0,0,5374207734	,派大星变美乃滋,广西 南宁,心有山海，静而不争。,m,0,85,7,False,loyal_fans,0
4744004388522687	,Sun Mar 06 12:50:48 +0800 2022,0,继续考古，温迪！万叶！你们快来吧！,继续考古，温迪！万叶！你们快来吧！,0,0,5835244804	,亚修·,其他,。,f,28,249,171,False,loyal_fans,0
4743764210616814	,Sat Mar 05 20:56:25 +0800 2022,0,前来考古，2022.3.5，原神加油，米哈游加油！,前来考古，2022.3.5，原神加油，米哈游加油！,1,0,7732193786	,EJoachim,江苏 苏州,骂人可不好……emm除非忍不住……,f,0,41,27,False,loyal_fans,0
4729105448441116	,Mon Jan 24 10:07:44 +0800 2022,0,这么早就有神里绫华了？？,这么早就有神里绫华了？？,0,2,6313769853	,希儿呐xy,其他,,m,14,141,15,False,Null,0
4728493231050620	,Sat Jan 22 17:35:00 +0800 2022,0,我惊了，这么早就把神里绫华放出来了？[二哈][二哈],我惊了，这么早就把神里绫华放出来了？,5,0,6098055927	,盛夏遲暮澤,北京,记录故事的人不需要故事。活着本就会有太多不如意，所以还是开心点吧。,f,49,323,564,False,loyal_fans,6
4725591180053730	,Fri Jan 14 17:23:17 +0800 2022,0,希望原神越来越好,希望原神越来越好,1,0,1654788071	,盛夏薇澜,四川 达州,,f,69,79,89,False,loyal_fans,0
4723616816300419	,Sun Jan 09 06:37:52 +0800 2022,0,那些热评的没🐎仔怎么还在啊[doge],那些热评的没🐎仔怎么还在啊,0,0,5855892820	,品咕咕,海外,,m,15,91,7,False,Null,0
4713711501054343	,Sun Dec 12 22:37:41 +0800 2021,0,评论区真有趣[doge],评论区真有趣,2,0,7559112138	,慕夏明黎,其他,一个小小的furry控+lsp(//̀Д/́/),m,10,453,22,False,loyal_fans,0
4688220073233764	,Sun Oct 03 14:23:51 +0800 2021,0,原来神里大小姐这么早就出现在pv里了,原来神里大小姐这么早就出现在pv里了,8,0,6887676098	,温迪大人没有在摸鱼,广西,若你处于无风之地，我便为你奏响高天之歌,m,13,273,142,False,Null,0
4670184310440406	,Sat Aug 14 19:56:09 +0800 2021,0,加油[喵喵],加油,0,0,5896529783	,喜欢你的木乃伊,其他,LI XX🍀   VX:lizp502,f,53,269,210,False,loyal_fans,0
4669757935062410	,Fri Aug 13 15:41:54 +0800 2021,0,2021年8月13日报道，我想说原神真的很好玩，会做的越来越好的，加油！,2021年8月13日报道，我想说原神真的很好玩，会做的越来越好的，加油！,2,0,5835244804	,亚修·,其他,。,f,28,249,171,False,loyal_fans,0
4652736522752139	,Sun Jun 27 16:24:53 +0800 2021,0,为什么蒙德的序章会有神里[二哈],为什么蒙德的序章会有神里,15,1,6005792475	,绯羽绯葬,广东 广州,,f,46,287,272,False,loyal_fans,0
4677087258744199	,Thu Sep 02 21:06:01 +0800 2021,4652736522752139	,神里内测的时候就已经做出来了,神里内测的时候就已经做出来了,4,Null,7509931541	,下饭的奕泽,香港,鼠鼠，柠檬啥时候酸啊😅,m,2,443,48,False,Null,0
4645550035833428	,Mon Jun 07 20:28:21 +0800 2021,0,原来这个时候就有神里绫华了[泪],原来这个时候就有神里绫华了,3,1,5885345440	,杀疯的兔子,其他,。。。,m,16,84,6,False,Null,0
4670790559861115	,Mon Aug 16 12:05:11 +0800 2021,4645550035833428	,我也正想说呢，神里镜头出来这么早,我也正想说呢，神里镜头出来这么早,0,Null,6592600642	,阿卡狄亚半岛,其他,,m,0,26,136,False,Null,0
4611166673831313	,Thu Mar 04 23:21:08 +0800 2021,0,为什么会有神里绫华？,为什么会有神里绫华？,5,2,6178390872	,r1selrt,海外 美国,,m,9,189,10,False,Null,0
4694763623679101	,Thu Oct 21 15:45:35 +0800 2021,4611166673831313	,[doge],,0,Null,5888801962	,吉日晨良,其他,天下兴亡，匹夫有责。大丈夫，敢为天下先！勉之。,m,70,12,86,False,Null,0
4514675527735951	,Thu Jun 11 16:59:47 +0800 2020,0,回头来看，热评哈哈哈哈哈哈哈哈哈,回头来看，热评哈哈哈哈哈哈哈哈哈,7,0,7328851865	,AlanTuringfan_vcfake,上海 徐汇区,手动搜置顶，同好热烈欢迎。,f,36,273,2159,False,Null,0
4498363586438740	,Mon Apr 27 16:41:57 +0800 2020,0,加油(ง •̀_•́)ง！！！,加油(ง •̀_•́)ง！！！,0,0,1008309912	,提尔乌斯,上海,此处无人,m,0,0,0,False,Null,0
4483929203859721	,Wed Mar 18 20:44:52 +0800 2020,0,求大伟哥给个资格,求大伟哥给个资格,0,0,6342010817	,东京最慢传说被毒死的土豆服务器,浙江 湖州,永失吾爱举目破败,m,4,109,32,False,Null,0
