UserID,FirstIndex,IndexList,UserName,TotalComment,Comment,Reply,LikeCount,Province,ProvinceCode,Region,UserLocation,Description,UserDescription,DescriClean,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,VipRank
1001914040,3498,[3498],薪火鹏,1,1,0,0,广东,12,,广东,1,这个世界并没有错，只是存在于那里而已。,这个世界并没有错只是存在于那里而已,17,2,1,30,56,692,0,0,0
1008309912,43,"[43, 149, 565, 1344]",提尔乌斯,4,4,0,0,上海,0,,上海,1,此处无人,此处无人,4,0,1,0,0,0,0,0,0
1025900974,1394,"[1394, 1686]",猫的摇篮-伪物,2,2,0,1,天津,7,南开区,天津 南开区,1,请在我们脏的时候爱我们。,请在我们脏的时候爱我们,11,1,1,917,1109,2013,0,0,0
1028179843,2564,[2564],非常神奇的老z,1,0,1,0,上海,0,静安区,上海 静安区,0,,,0,0,1,13,59,9,0,0,0
1035744261,1292,[1292],假装很强的萌新,1,1,0,0,广东,12,,广东,1,一个喜欢二次元的萌新,一个喜欢二次元的萌新,10,0,1,14,34,107,0,1,0
1036072925,1628,[1628],空空今天养乐多了吗,1,1,0,0,北京,4,,北京,1,佛系solo甜唯,佛系solo甜唯,8,0,0,403,1436,7101,1,1,6
1039477413,1442,[1442],阿卡牟-akamoo,1,0,1,0,福建,26,,福建,1,FF14 dota2 奥妙鸡,FF14 dota2 奥妙鸡,12,0,1,36,146,30,0,0,0
1046537351,551,"[551, 3287, 3521]",Y口十子,3,1,2,0,云南,1,昆明,云南 昆明,1,RAmen,RAmen,5,0,1,1145,377,4991,0,0,0
1066324192,702,[702],斯蒂芬徐,1,1,0,0,广东,12,佛山,广东 佛山,1,银行:狗脸:,银行,3,1,1,352,1344,4089,0,0,0
1069108481,2827,[2827],FAITHLESSS,1,1,0,0,湖北,22,,湖北,0,,,0,0,1,199,290,553,0,0,0
1077183874,1845,[1845],4K包子,1,1,0,0,广东,12,佛山,广东 佛山,1,秃必锐驰,秃必锐驰,4,0,1,93,178,261,0,0,0
1078938744,3719,[3719],Clown1008,1,0,1,0,贵州,28,贵阳,贵州 贵阳,1,但行好事，莫问前程。,但行好事莫问前程,8,2,1,778,980,9,0,0,0
1088627363,2922,[2922],绯色灼眼,1,1,0,0,湖北,22,武汉,湖北 武汉,0,,,0,0,1,319,901,1009,0,0,0
1093773890,1786,[1786],Luciferbear,1,1,0,0,其他,2,,其他,1,爱动漫，爱音乐，爱电影，特别想看场演唱会,爱动漫爱音乐爱电影特别想看场演唱会,17,3,1,272,4944,6101,0,0,0
1100309802,664,[664],zx小堕,1,1,0,0,陕西,31,西安,陕西 西安,1,平淡是福,平淡是福,4,0,1,283,487,336,0,0,0
1103013562,109,"[109, 116, 126, 136]",让我成为自己的锚,4,4,0,4,其他,2,,其他,1,如此期盼再见到某个人,如此期盼再见到某个人,10,0,0,102,352,700,0,0,0
1132703424,606,[606],翔锅就是大象,1,1,0,0,浙江,19,杭州,浙江 杭州,1,大龄佛系钢铁直男,大龄佛系钢铁直男,8,0,1,1552,2459,4235,0,0,0
1157060041,2837,[2837],DoctorRab,1,1,0,0,其他,2,,其他,1,家有萌猫｜海利亚人&动森岛民代表&:乌贼:,家有萌猫海利亚人动森岛民代表,15,4,0,183,296,9500,0,0,0
1161911767,1520,[1520],燃烧de狒狒,1,1,0,0,福建,26,,福建,1,三次元废人→爱ACG 人活着就是为了喜多川海梦,三次元废人爱ACG 人活着就是为了喜多川海梦,21,1,1,115,265,199,0,0,0
1174230992,1752,"[1752, 2660, 3548, 3830]",lkx3377456,4,1,3,17,广东,12,潮州,广东 潮州,1,动漫游戏宅一枚……,动漫游戏宅一枚,7,2,1,56,44,394,0,0,0
1186512245,2829,[2829],kirasaya,1,1,0,0,云南,1,曲靖,云南 曲靖,0,,,0,0,1,24,99,609,0,0,0
1195333362,242,[242],研_________永远的新人,1,1,0,0,浙江,19,,浙江,0,,,0,0,0,6,88,5,0,0,0
1198161997,1323,[1323],Antares1906,1,1,0,0,浙江,19,,浙江,0,,,0,0,0,49,178,41,0,0,0
1207870033,1800,[1800],糊糊浃浃,1,1,0,0,上海,0,,上海,1,(๑˙ー˙๑)随缘咸鱼，在线摸鱼,随缘咸鱼在线摸鱼,8,8,0,421,636,9639,0,0,0
1218281725,2230,[2230],馀妍,1,1,0,0,山东,10,,山东,1,真的:奶牛头:我吐了,真的我吐了,6,1,1,193,197,1075,0,0,4
1236789504,918,[918],肖申克的后妈,1,1,0,0,浙江,19,杭州,浙江 杭州,1,是人都聒噪,是人都聒噪,5,0,0,2427,674,7361,0,0,0
1237072633,1981,[1981],Sun_Has_Sunny,1,1,0,0,其他,2,,其他,1,私わ戏子でず。1268。,私戏子1268,7,5,0,1156,1253,6383,0,0,8
1237553497,800,[800],牧雨童,1,1,0,0,山东,10,潍坊,山东 潍坊,1,感觉良好~,感觉良好,4,1,1,48,249,375,0,0,0
1239814901,3304,[3304],曾几何时的乡巴佬,1,0,1,17,浙江,19,绍兴,浙江 绍兴,1,这是何等的卧槽,这是何等的卧槽,7,0,1,36,41,143,0,0,0
1242434303,3683,[3683],唯yuan有小爆脾气,1,1,0,0,山东,10,青岛,山东 青岛,1,偶尔喝喝酒跳跳舞,偶尔喝喝酒跳跳舞,8,0,0,276,399,8763,0,0,0
1252685242,1279,[1279],能力有限Company,1,1,0,0,上海,0,浦东新区,上海 浦东新区,1,未来无限，只是我能力有限,未来无限只是我能力有限,11,1,0,21,17,8,0,0,0
1256123200,2924,[2924],FD_ZJ,1,1,0,0,其他,2,,其他,1,自由不是免费的,自由不是免费的,7,0,1,920,2028,6679,0,0,0
1256751547,1531,[1531],超级抠的华子的同事,1,1,0,0,广东,12,中山,广东 中山,1,你说你爱他 和他没关系,你说你爱他 和他没关系,10,0,0,228,557,5074,0,0,0
1259099852,2368,[2368],TVemu,1,1,0,0,黑龙江,34,绥化,黑龙江 绥化,1,喜欢游戏的玩家,喜欢游戏的玩家,7,0,1,119,681,1243,0,0,0
1260218110,1980,[1980],DEV-7,1,1,0,0,其他,2,,其他,1,Devenge AKA DEV RULES,Devenge AKA DEV RULES,18,0,1,2692,36,39,1,0,0
1262716967,1869,[1869],南十字星MX,1,1,0,0,江苏,15,常州,江苏 常州,0,,,0,0,1,63,380,148,0,0,0
1269342390,1507,[1507],Yan-zitiao,1,1,0,0,四川,6,成都,四川 成都,1,眼大肚皮小，就怕吃不饱,眼大肚皮小就怕吃不饱,10,1,1,21899,337,47,0,0,6
1276814372,1197,[1197],sid456838,1,1,0,0,四川,6,,四川,1,行走的可乐罐！,行走的可乐罐,6,1,1,358,499,5868,0,0,7
1286484984,1070,[1070],途泱,1,1,0,1,辽宁,29,沈阳,辽宁 沈阳,1,一任阶前点滴到天明。,一任阶前点滴到天明,9,1,1,211,418,312,0,0,0
1289320634,1609,"[1609, 2943, 3738, 3739]",GiarlDxin,4,1,3,16,浙江,19,宁波,浙江 宁波,0,,,0,0,1,202,592,696,0,0,0
1298605467,2006,[2006],only_5,1,1,0,0,广东,12,,广东,1,目隐,目隐,2,0,1,69,184,421,0,0,0
1301620693,1042,[1042],l_Asuka_l,1,1,0,0,湖南,23,长沙,湖南 长沙,1,嗯……,嗯,1,2,1,79,202,5317,0,0,0
