F_UserName,User_nIdx,F_Comment,Label,TextLen
花月歌浮舟,2797,考古结束 ,0.0,5
蠢萌萌66,2775,可恶的米哈游，出这么个游戏，估计又要换一部手机,0.0,23
蠢萌萌66,2775,律师函都没有，原神都成功登录ns了，就不要在这嗷嗷叫了,0.0,27
蠢萌萌66,2775,都半年了，任天堂都接受原神登录ns，这帮抄袭警察还嗷嗷叫着原神抄袭，自己丢脸丢到国外，还觉得自己是正义的,0.0,52
DodLIke刂兆,1692,等私信  ,0.0,5
wangxorz,1270,  来个测试资格吧[二哈],0.0,13
葱花不开花,2456,  嘿嘿，栗子大大出来装个好友帮个忙[太开心][太开心],0.0,28
古韵流年5675516293,1743,想要内测资格 ,0.0,7
YZM27368,2480,在，给个内测码？  [悲伤],0.0,14
米卫兵没有马76320,2745,米卫兵 没有妈 尤其是 ,0.0,12
米卫兵没有马76320,2745,害 我是真的服辣 米卫兵 属实可怕 偷图强行给自己找牌面  我玩过塞尔达传说黄昏公主直到野炊熬 我玩过鬼泣345熬 我玩过AC全系列熬 一张从复苏神庙刚出来的图这是玩过？一张毫无意义的鬼泣5截图 明眼人一看就是偷的图 我服辣 ,0.0,113
_Drm丶梦想,1516,啥时候出。 ,0.0,6
神女控5542376338,1574,  期待安卓开测,0.0,8
薄荷巴乔,692,在b站在贴吧一直都只是看着别人玩塞尔达，真的是不错佷想玩，问题是没主机，前两天才知道有 原神 这一回事，手机上能玩和塞尔达一样的游戏把我高兴坏了，这下可圆梦了，希望别让我等太久！,0.0,89
薄荷巴乔,692,在b站在贴吧一直都只是看着别人玩塞尔达，真的是不错佷想玩，问题是没主机，前两天才知道有 原神 这一回事，手机上能玩和塞尔达一样的游戏把我高兴坏了，这下可圆梦了,0.0,79
薄荷巴乔,692,难道你不用手机吗，在手机上可以玩到和塞尔达一样的游戏不好吗，难道你每天带着主机出门吗，你不喜欢就不要影响喜欢的人，(手机上能玩塞尔达一定买，问题是可能吗),0.0,77
伊晗韵poi,694,[doge]观望中，失望归失望  奖还是要抽的，万一中了呢 ,0.0,30
Pancras_Loe盧鵬州,2477,腾讯爸爸不管？国区ns上线也没得赚了，最大ip天下第一塞尔达被抄袭了，还不用花一分钱就能玩，谁还买你ns啊？       ,0.0,61
Pancras_Loe盧鵬州,2477,尼玛都炸了，让米哈游按在床上日呢，快去加油助威啊？,0.0,25
Pancras_Loe盧鵬州,2477,旷野之息＋尼尔＋鬼泣＋龙之谷,0.0,14
willlee316,374,  了解一下,0.0,6
储物箱有猪,570,   来寄律师函[doge],0.0,14
竹墨尘儿,1473,没抢到测试资格难受，期待公测，不过同时也担心手机扛不住[嘻嘻],0.0,31
竹墨尘儿,1473,兄弟们，cf和QQ飞车一开始每一张图和道具全和cs与跑跑卡丁车一模一样，可以说是连改也不改，腾讯照样不是活的好好的，而且还爆赚。常态啦，平常心[并不简单],0.0,77
DEANSZH,1359,  [嘻嘻],0.0,6
细佬b仔唔姓何,227,祝你游拿不到版号糊穿地心[中国赞],0.0,17
-YanHal-,517,  来品品这个国产原创塞尔达,0.0,14
想和小羊去吹风,2024,我转了  ,0.0,5
五年高考三年模拟江浙沪分销,843,  有点像哦[doge],0.0,12
假行僧may,831,  之前蹦蹦蹦 就是完全白金的战斗系统，这次竟然敢挑战任天堂最强法务部，膨胀了啊[笑cry],0.0,46
bgo天下第一,1355,  你们管不管,0.0,7
Terry_1231,2342,塞尔达续集 ,0.0,6
GanChongren,509,@官方，我真是小机灵鬼[笑而不语],0.0,17
叫某人丶,560,  冲呀,0.0,4
病娇毒舌狂三酱02806,2661,许个愿望吧 　　　∩∩ 　　（´･ω･） 　 ＿|　⊃／(＿＿_ 　／ └-(＿＿＿_／  算了反正也抽不到我 　　 ⊂⌒／ヽ-、＿_ 　／⊂_/＿＿＿＿ ／ 　￣￣￣￣￣￣ 万一抽到我了呢 　　　∩∩ 　　（´･ω･） 　 ＿|　⊃／(＿＿_ 　／ └-(＿＿＿_／ 　￣￣￣￣￣￣  ,0.0,144
花丶若酔,1203,嘛耶 ,0.0,3
R丶尺子,1535,  没有什么能够阻挡，我对原神的向往～,0.0,19
宫保鸡丁517,2722,   孩他妈 来打游戏,0.0,11
随便的网名_,1310,  米哈游新作《原神》放出了新预告,0.0,17
随便的网名_,1310, ,0.0,1
随便的网名_,1310, ,0.0,1
随便的网名_,1310,  抽奖啊。。。,0.0,8
政泪,1320,想要却不得  ,0.0,7
夜浊无归路tt,2242,   [doge],0.0,9
辰魂112,1370,  [二哈][二哈][二哈]中吧,0.0,16
晴玖玥,2022,  冲,0.0,3
风吟剑磬,1591,  求中奖,0.0,5
维尔cheers,633,  随便艾特一个,0.0,8
Ghost-sky,245,你不中我中呀 嘻嘻  ,0.0,11
被簇拥着的寂寞,746,    原神来了,0.0,8
神33040,1441,许愿内测资格~！求中奖   ,0.0,14
八瓜015,2693,  想玩QwQ,0.0,7
