F_UserName,User_nIdx,F_Comment,Label,TextLen
kmimg7,2789,真不知道迅哥给评论区投了多少米？[允悲][doge],4.0,26
不知道如何评价,2792,[吃瓜]现在是2023年 回来考古的点个赞,4.0,21
c跳跳呀,1337,回来看看梦开始的地方,4.0,10
浦镇做题家,2774,3年了 3年,4.0,6
寂月海200007,2798,参观古战场[666],4.0,10
品咕咕,1908,那些热评的没妈仔怎么还在啊[doge],4.0,19
马甲49056,2682,原神登录ns了，要不再来个暴躁大哥砸个ns助助兴?[doge][吃瓜],4.0,35
连哄带蒙不要脸,332,黑暗，真的太黑暗了,4.0,9
连哄带蒙不要脸,332,感谢，米哈游，让我在手机上玩到了塞尔达如此优秀的作品，我希望你们可以再接再厉，让我可以在手机上玩到任天堂大乱斗，谢谢,4.0,58
印第安老斑鳩鳩,669,去年买了个表,4.0,6
血腥来袭2018,2514,笑到肚子疼,4.0,5
非洲雷姆,2648,原神登录ns了，现在看这些评论真的好笑,4.0,19
非洲雷姆,2648,你行你上,4.0,4
sven1207,2645,什么时候才能玩啊，怎么今年一点消息都没,4.0,19
sven1207,2645,什么时候公测啊，等不及了,4.0,12
晨夌,2271,待启二测,4.0,4
墨染无颜,2776,到底什么时候公测呢,4.0,9
Eternal心晗11203,2674,米哈游加油＾０＾~,4.0,9
-iLan,2374,为什么不送ns和塞尔达？,4.0,12
养老养老没头发了,2771,什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线,4.0,102
快乐少年亚索,1459,老抽奖，放点干货瞧瞧啊[悲伤],4.0,15
快乐少年亚索,1459,留个言，冒个泡，话说粉丝有点少,4.0,15
凉宫呆唯,2583,混蛋啥时候二测，记得给我个资格，啊啊啊,4.0,19
柳小枫666,1696,所以说，你到底什么时候公测,4.0,13
斗鱼大明星梦想,2222,恭喜原神过审,4.0,6
PC端的炮灰战士,1361,之后我会去买一套塞尔达旷野之息补票，以表敬意,4.0,22
PC端的炮灰战士,1361,我也是个玩家，我也知道国产游戏圈的现状，但这次我不论如何我都支持米哈游，我不想看到米哈游倒下。如果说就是我这种人阻碍了中国游戏的发展那我认了，想喷的就过来喷吧，就算被喷死我也不会收回我说过的话。还有瓶子他是我很喜欢的UP主，虽然他的话让我很难受但他也没说错。,4.0,129
PC端的炮灰战士,1361,俩款游戏的视频解说我也都看过确实很像，让谁来对比都是一样，所以被说成抄袭无可厚非。但游戏史上最黑暗的一天就是胡扯了，当年的腾讯在满世界抄游戏时也没见有多大浪啊。每次看到有玩家在狂喷原神时我就感觉心疼，我不知道米哈游在原神上失败会怎样。,4.0,117
